 ra        dec       radius SpT   DM    PMra  PMdec    SPM    mem    memp   mem1
 45.94066  45.38921  5.4253 387   6.53  20.50 -22.50   3.70   0.00   0.02   0.00
 45.94506  45.90766  5.0661 373   3.82  12.40 -15.10   1.00   0.00   0.00   0.00
 45.99716  45.08336  5.6208 375   6.59  62.20 -28.60   3.70   0.00   0.00   0.00
 44.00001  46.96866  5.6068 382   5.86  -0.70 -51.60   4.20   0.00   0.00   0.00
 44.04913  46.91593  5.5995 372   4.19  -8.90 -20.90   1.60   0.00   0.00   0.00
 44.05924  46.48006  5.7977 380   5.05  47.50 -23.40   3.20   0.00   0.00   0.00
 44.20678  47.85244  5.1554 367   6.19   4.80 -15.80   3.50   0.00   0.00   0.00
 44.62259  47.60857  4.9685 367   6.18  17.40   4.80   3.40   0.00   0.00   0.00
 44.73224  47.53831  4.9244 366   3.83  28.90 -25.30   1.50   0.00   0.00   0.00
 44.73813  47.28801  5.0171 388   6.39  22.00 -17.80   3.40   0.00   0.01   0.00
 44.82200  47.25552  4.9786 370   6.27  33.30 -17.10   3.20   0.00   0.00   0.00
 44.97715  47.71452  4.7078 387   6.65  10.30 -56.40   3.40   0.00   0.00   0.00
 45.07609  46.57814  5.1471 373   6.20   5.10 -16.50   3.40   0.00   0.00   0.00
 45.17004  47.81282  4.5528 382   3.72  12.60 -13.00   1.50   0.00   0.00   0.00
 45.20522  47.74087  4.5546 372   6.33  13.40 -18.30   3.40   0.00   0.00   0.00
 45.29636  46.88361  4.8607 365   6.49  -3.70 -22.50   3.40   0.00   0.00   0.00
 45.32526  46.74961  4.9116 362   6.16  17.60  -9.60   3.40   0.00   0.00   0.00
 45.55217  47.66390  4.3640 366   6.37  19.30  -9.90   3.40   0.00   0.00   0.00
 45.56323  46.21227  5.0782 364   6.11  18.20  -4.70   3.40   0.00   0.00   0.00
 45.61928  46.62914  4.8056 383   6.33  27.10 -34.80   3.40   0.02   0.08   0.02
 45.72814  47.73003  4.2295 379   5.81  15.10   8.40   3.30   0.00   0.00   0.00
 45.84763  47.28250  4.3404 363   5.85  18.30  -7.30   1.40   0.00   0.00   0.00
 45.91210  47.85450  4.0697 388   4.12  -2.40 -17.40   3.50   0.00   0.00   0.00
 45.93823  47.49910  4.1901 378   6.36   2.20 -15.40   3.50   0.00   0.00   0.00
 43.98145  49.60124  5.0802 371   5.77  -0.20 -17.30   3.40   0.00   0.00   0.00
 44.08032  49.21146  5.0137 383   6.63  30.80 -24.40   3.40   0.00   0.01   0.00
 44.11289  49.36415  4.9898 381   4.60  -8.30 -29.40   3.40   0.00   0.00   0.00
 44.17202  49.07156  4.9602 386   6.36  13.30 -10.40   3.40   0.00   0.00   0.00
 44.20449  48.06639  5.0983 374   6.19   9.00 -12.80   3.60   0.00   0.00   0.00
 44.22945  49.62700  4.9209 381   6.37   3.90 -26.80   3.40   0.00   0.00   0.00
 44.23167  49.77194  4.9293 390   6.32  12.00 -13.00   3.40   0.00   0.00   0.00
 44.41931  49.36702  4.7903 377   6.63   4.70 -19.10   3.40   0.00   0.00   0.00
 44.42704  48.80418  4.8164 371   6.15   2.90 -23.00   3.40   0.00   0.00   0.00
 44.47896  49.21328  4.7533 383   5.46  19.10  -2.30   3.40   0.00   0.00   0.00
 44.50272  48.44607  4.8207 370   6.45  13.20 -10.00   3.40   0.00   0.00   0.00
 44.51625  49.11850  4.7326 378   6.21  18.10 -11.00   3.40   0.00   0.00   0.00
 44.59988  48.44955  4.7568 362   6.41  12.90 -16.30   3.40   0.00   0.00   0.00
 44.64295  49.22965  4.6458 390   6.44  19.00  -3.90   3.40   0.00   0.00   0.00
 44.66420  49.90015  4.6647 383   6.60  50.60 -42.40   3.40   0.00   0.00   0.00
 44.69548  48.81032  4.6401 375   6.09  13.40 -12.30   3.40   0.00   0.00   0.00
 44.81619  48.88688  4.5530 389   6.29   3.20 -23.20   3.40   0.00   0.00   0.00
 44.84626  48.21703  4.6461 371   6.59  17.60  -6.40   3.50   0.00   0.00   0.00
 44.93665  48.06301  4.6270 376   5.15   7.10 -15.90   3.50   0.00   0.00   0.00
 44.94428  48.42934  4.5364 377   4.62   3.80 -22.80   3.40   0.00   0.00   0.00
 45.03415  48.77491  4.4227 385   5.82  14.60 -10.40   3.40   0.00   0.00   0.00
 45.05302  49.36027  4.3775 386   6.60  17.30 -19.20   3.40   0.00   0.00   0.00
 45.05506  49.08646  4.3819 381   4.92  19.80  -6.00   3.40   0.00   0.00   0.00
 45.05746  49.31049  4.3744 379   6.39  20.60 -26.30   3.40   0.15   0.44   0.13
 45.05958  48.86801  4.3956 385   6.65  11.90  11.50   3.40   0.00   0.00   0.00
 45.06828  49.78090  4.3923 387   4.11  10.70 -22.50   3.40   0.00   0.00   0.00
 45.11867  49.16263  4.3370 365   6.62  21.10 -27.50   3.40   0.01   0.07   0.01
 45.18894  49.44787  4.2910 387   6.47  41.70 -43.70   3.40   0.00   0.00   0.00
 45.20813  49.13611  4.2795 379   6.04   3.40 -15.30   3.40   0.00   0.00   0.00
 45.23787  48.84085  4.2818 371   4.70  25.70 -24.70   1.10   1.14   2.11   0.83
 45.32410  48.05644  4.3801 370   5.92 -10.80 -18.90   3.40   0.00   0.00   0.00
 45.32969  48.41614  4.2885 384   4.20  24.80  -8.80   3.20   0.00   0.00   0.00
 45.40661  49.07578  4.1525 387   5.96  17.90  -1.10   3.40   0.00   0.00   0.00
 45.41899  49.70148  4.1587 383   6.55  14.30  -7.00   3.40   0.00   0.00   0.00
 45.49819  49.82864  4.1224 362   6.37  30.80   5.80   3.40   0.00   0.00   0.00
 45.68680  49.07939  3.9690 385   5.70  -8.80 -31.60   3.40   0.00   0.00   0.00
 45.69753  49.79558  3.9906 389   5.20  10.40 -12.00   3.40   0.00   0.00   0.00
 45.72458  49.44977  3.9431 383   4.72  15.40   0.40   3.40   0.00   0.00   0.00
 45.74238  49.10223  3.9316 385   3.88  18.90 -21.00   3.40   0.00   0.00   0.00
 45.79419  49.61510  3.9089 386   6.36  13.60 -10.90   3.40   0.00   0.00   0.00
 45.79427  49.94870  3.9519 385   6.22   8.60 -26.80   3.40   0.00   0.00   0.00
 45.79537  49.46976  3.8981 385   5.95 -10.10 -13.40   3.40   0.00   0.00   0.00
 45.82512  49.26175  3.8738 376   5.79  17.40   4.80   3.40   0.00   0.00   0.00
 45.82642  49.90630  3.9245 385   4.96  16.50  -6.90   2.50   0.00   0.00   0.00
 45.86161  49.05483  3.8559 386   4.58 -13.10 -19.60   3.40   0.00   0.00   0.00
 45.86652  48.68095  3.8915 382   6.49  14.90  -6.90   3.40   0.00   0.00   0.00
 45.90626  49.25789  3.8208 389   5.20  27.00 -23.70   3.00   9.28   6.89   4.80
 45.91587  48.28440  3.9389 378   5.43  21.20  -4.70   2.40   0.00   0.00   0.00
 45.92681  49.79656  3.8440 369   6.32  16.80  -5.50   3.40   0.00   0.00   0.00
 45.93264  49.16484  3.8049 382   5.86  20.40   0.90   3.30   0.00   0.00   0.00
 45.93776  48.49552  3.8775 387   5.11  26.10 -18.40   3.40   0.76   1.03   0.51
 45.96129  48.30838  3.9037 378   5.91  12.30 -55.60   3.50   0.00   0.00   0.00
 43.98892  50.60098  5.2149 384   5.37  23.70  -3.50   3.40   0.00   0.00   0.00
 44.03667  51.85391  5.6136 386   4.92  -5.30 -15.10   3.70   0.00   0.00   0.00
 44.04310  51.22156  5.3616 386   5.17   7.90 -15.40   3.40   0.00   0.00   0.00
 44.08296  51.18515  5.3257 386   5.08  11.90  -9.60   3.40   0.00   0.00   0.00
 44.10758  50.89171  5.2186 387   6.49 -10.90 -32.40   3.40   0.00   0.00   0.00
 44.10955  51.21128  5.3190 385   4.01  -1.20 -19.10   3.40   0.00   0.00   0.00
 44.11537  50.61428  5.1401 384   5.38  27.80 -20.50   4.60   0.83   1.03   0.54
 44.16625  51.00540  5.2177 381   6.18   5.40 -20.80   3.40   0.00   0.00   0.00
 44.17708  50.21143  5.0192 379   6.65  21.40 -33.00   3.40   0.00   0.01   0.00
 44.19580  50.24496  5.0131 386   6.54   6.20 -19.60   3.40   0.00   0.00   0.00
 44.22535  51.75941  5.4673 383   5.70  23.60 -31.40   3.70   2.85   3.25   1.77
 44.27394  50.10871  4.9416 363   6.14  25.70 -34.10   3.40   0.20   0.38   0.15
 44.34684  51.40434  5.2519 366   6.60  39.20 -37.40   2.80   0.00   0.00   0.00
 44.35648  51.01663  5.1078 363   6.66  15.30  -7.70   3.40   0.00   0.00   0.00
 44.39110  51.64118  5.3236 382   6.27 -15.10 -17.50   4.60   0.00   0.00   0.00
 44.39447  51.39965  5.2227 386   6.38   5.70 -16.30   3.40   0.00   0.00   0.00
 44.49148  50.13888  4.8086 389   6.54   9.10 -41.30   4.60   0.00   0.00   0.00
 44.52982  51.36580  5.1317 389   6.09   8.00 -16.90   3.40   0.00   0.00   0.00
 44.54457  51.54860  5.1979 385   6.55  -3.60 -18.40   3.70   0.00   0.00   0.00
 44.57876  50.70734  4.8807 389   6.61  15.10  -9.80   3.40   0.00   0.00   0.00
 44.68043  51.54617  5.1204 382   5.42  26.00 -13.40   3.50   0.01   0.03   0.01
 44.70480  50.00930  4.6533 383   6.04   5.10 -22.40   3.40   0.00   0.00   0.00
 44.73816  51.31085  4.9904 368   5.15   8.80 -22.40   1.30   0.00   0.00   0.00
 44.78801  51.85596  5.2030 383   6.41  -2.40 -15.90   3.70   0.00   0.00   0.00
 44.79918  51.48366  5.0269 371   6.33  20.30 -41.20   3.70   0.00   0.00   0.00
 44.94461  51.19690  4.8269 386   6.62  15.00   0.50   3.40   0.00   0.00   0.00
 44.94556  51.38677  4.9031 384   6.40   3.20 -20.60   3.40   0.00   0.00   0.00
 44.96927  51.22193  4.8224 389   3.92  20.90 -14.80   2.40   0.00   0.00   0.00
 45.00510  51.23230  4.8059 366   5.98  26.40 -35.90   1.80   0.26   0.51   0.20
 45.01564  50.99575  4.7106 380   5.13  20.70  -9.40   3.40   0.00   0.00   0.00
 45.27036  50.76201  4.4799 383   6.65  16.80 -20.20   3.40   0.00   0.00   0.00
 45.28606  50.54151  4.4035 389   6.68  27.50 -29.80   3.40   0.00   0.02   0.00
 45.30898  50.01339  4.2704 386   6.29  10.90 -13.10   3.40   0.00   0.00   0.00
 45.34416  51.77279  4.8632 378   6.24  24.50   3.60   3.70   0.00   0.00   0.00
 45.35859  51.43114  4.6908 384   6.46  13.70 -13.60   5.00   0.00   0.00   0.00
 45.40370  50.63657  4.3601 371   6.61  43.70 -30.40   3.40   0.00   0.00   0.00
 45.42057  50.61868  4.3444 383   6.24  27.00   8.40   3.40   0.00   0.00   0.00
 45.46046  51.29674  4.5740 378   5.99  31.60 -26.80   3.40   0.57   0.86   0.40
 45.49958  50.48151  4.2563 378   5.53  22.30  -7.80   1.40   0.00   0.00   0.00
 45.51817  51.68905  4.7279 386   4.49  -9.70 -48.70   7.20   0.00   0.00   0.00
 45.52145  51.72303  4.7435 385   5.73  46.20 -40.50   1.40   0.00   0.00   0.00
 45.55476  51.42150  4.5778 365   5.66  17.30  -3.50   2.80   0.00   0.00   0.00
 45.59513  50.14210  4.1142 368   5.87  39.80 -14.20   3.40   0.00   0.00   0.00
 45.69960  51.86940  4.7276 388   4.80  11.30 -11.30   3.50   0.00   0.00   0.00
 45.79455  51.51940  4.4942 377   5.94   6.50 -19.30   3.40   0.00   0.00   0.00
 45.85312  50.18063  3.9613 387   5.68  -3.90 -16.10   3.40   0.00   0.00   0.00
 45.89604  50.87848  4.1519 389   6.08  29.60 -42.00   3.40   0.00   0.01   0.00
 45.92231  50.12134  3.9048 378   5.92   4.40 -17.20   3.40   0.00   0.00   0.00
 46.02632  51.88185  4.5674 377   6.28  14.60 -37.10   3.50   0.00   0.01   0.00
 44.02043  52.61926  5.9981 373   5.78  24.30 -25.50   3.70   1.75   2.47   1.16
 44.06489  53.89772  6.7534 377   5.64  11.80 -11.00   3.80   0.00   0.00   0.00
 44.06496  53.10087  6.2492 370   6.14   8.60 -16.00   3.70   0.00   0.00   0.00
 44.06903  53.67321  6.6037 386   5.23  29.70 -17.50   1.80   0.01   0.02   0.01
 44.07408  53.66043  6.5931 371   5.82   8.90 -12.20   3.70   0.00   0.00   0.00
 44.11308  53.77330  6.6495 364   5.75  23.60  10.10   2.70   0.00   0.00   0.00
 44.13237  52.28709  5.7666 384   6.44  15.60 -22.50   3.70   0.00   0.00   0.00
 44.15460  53.24412  6.2930 364   5.92  20.60 -11.60   3.70   0.00   0.00   0.00
 44.16071  53.01973  6.1548 383   5.94  18.30 -19.80   2.20   0.04   0.08   0.03
 44.20414  53.72310  6.5759 387   6.62 -15.80 -27.00   3.70   0.00   0.00   0.00
 44.21199  52.64708  5.9159 383   6.66   2.70 -24.60   3.70   0.00   0.00   0.00
 44.22705  52.56191  5.8615 389   3.77   9.20 -22.50   3.70   0.00   0.00   0.00
 44.27701  53.69324  6.5238 383   5.42  20.10 -11.40   2.40   0.00   0.00   0.00
 44.29180  53.30053  6.2637 383   6.05   7.00 -17.60   3.70   0.00   0.00   0.00
 44.44241  52.26481  5.5922 369   6.65  25.70   9.70   3.80   0.00   0.00   0.00
 44.44597  52.45158  5.6897 388   6.29   0.30 -24.20   3.70   0.00   0.00   0.00
 44.46544  52.43887  5.6728 388   5.26  13.40 -30.90   3.70   0.05   0.10   0.04
 44.60287  52.80011  5.8098 378   6.64  -6.90 -14.40   3.70   0.00   0.00   0.00
 44.61915  52.57845  5.6728 386   6.05  13.70 -24.30   3.70   0.02   0.04   0.01
 44.64135  52.63235  5.6927 366   6.16  10.00 -26.00   3.30   0.00   0.00   0.00
 44.69596  53.79581  6.4114 374   6.19  -0.90 -39.10   3.80   0.00   0.00   0.00
 44.69904  52.97391  5.8691 363   6.28   3.10 -19.30   3.70   0.00   0.00   0.00
 44.72554  52.86195  5.7878 387   5.39  -5.70 -19.40   3.40   0.00   0.00   0.00
 44.76909  53.91744  6.4659 384   6.18   6.50 -21.80   3.90   0.00   0.00   0.00
 44.83053  53.60721  6.2235 383   6.62  12.80 -14.50   3.80   0.00   0.00   0.00
 44.85088  52.89380  5.7476 384   6.66   8.90 -23.80   3.70   0.00   0.00   0.00
 44.90402  53.08086  5.8408 371   6.32  51.50 -19.70   4.70   0.00   0.00   0.00
 45.03983  52.61121  5.4846 367   6.19  11.90 -11.90   1.80   0.00   0.00   0.00
 45.04419  52.55115  5.4467 389   6.58  -0.70 -35.20   3.60   0.00   0.00   0.00
 45.07066  52.46923  5.3854 380   5.61  30.50 -10.20   3.70   0.00   0.00   0.00
 45.09141  52.21551  5.2305 382   6.13  -4.70 -16.50   3.70   0.00   0.00   0.00
 45.13893  53.02704  5.6983 371   6.60  11.30 -10.10   3.70   0.00   0.00   0.00
 45.15664  52.25428  5.2190 382   6.67  13.90  -9.30   3.70   0.00   0.00   0.00
 45.17391  52.11799  5.1345 382   6.43  -7.30 -14.80   2.80   0.00   0.00   0.00
 45.20593  53.27836  5.8356 387   5.21  10.70 -24.20   3.70   0.00   0.01   0.00
 45.20833  53.18761  5.7732 375   6.54  11.20 -13.70   3.70   0.00   0.00   0.00
 45.22768  53.52472  5.9965 377   6.49  12.80 -22.30   3.70   0.00   0.00   0.00
 45.24277  52.31450  5.2100 374   5.12   9.70 -11.80   1.60   0.00   0.00   0.00
 45.31250  52.29317  5.1629 374   5.70  37.10 -23.00   3.60   0.01   0.05   0.01
 45.34474  52.28366  5.1413 375   5.56  13.00 -23.10   3.30   0.10   0.18   0.07
 45.36561  53.39143  5.8445 365   6.36   5.60 -15.20   2.30   0.00   0.00   0.00
 45.45765  53.04843  5.5689 372   6.39  29.90 -16.50   2.00   0.00   0.00   0.00
 45.49419  53.97245  6.2145 375   4.36  13.50   8.70   0.90   0.00   0.00   0.00
 45.51897  53.86660  6.1255 378   5.78  25.00  -5.00   3.60   0.00   0.00   0.00
 45.66426  52.61058  5.1869 362   5.97  14.40 -23.60   2.00   0.08   0.13   0.06
 45.67973  53.58027  5.8496 366   6.17  12.10 -10.20   3.60   0.00   0.00   0.00
 45.73915  53.28228  5.6095 376   6.62   5.50 -18.20   3.50   0.00   0.00   0.00
 45.74245  53.70363  5.9160 385   4.63   8.00 -20.50   3.50   0.00   0.00   0.00
 45.81027  53.78796  5.9530 385   5.64  32.10 -23.00   3.60   0.14   0.29   0.11
 45.81240  53.49571  5.7340 386   5.84  16.00  -9.00   3.60   0.00   0.00   0.00
 45.89036  53.76306  5.9033 365   5.85  12.00 -21.20   3.70   0.00   0.01   0.00
 45.91316  52.28005  4.8608 387   6.32  15.80 -11.90   3.50   0.00   0.00   0.00
 45.93590  52.60907  5.0606 382   6.13  19.20 -32.80   3.50   0.18   0.32   0.13
 46.00556  53.59415  5.7308 384   6.11  29.50 -27.20   4.70   0.15   0.29   0.11
 46.01872  53.07875  5.3469 388   6.32   8.90 -23.10   3.50   0.00   0.00   0.00
 45.99716  45.08336  5.6208 375   6.59  62.20 -28.60   3.70   0.00   0.00   0.00
 46.22659  44.72571  5.7883 375   5.39  -7.80 -22.50   3.70   0.00   0.00   0.00
 46.27731  45.30156  5.3266 390   5.98  17.10 -41.60   3.70   0.00   0.00   0.00
 46.30559  44.10128  6.2555 381   5.95  15.90 -13.40   3.70   0.00   0.00   0.00
 46.31823  45.35186  5.2700 383   6.64  48.50 -44.70   3.70   0.00   0.00   0.00
 46.43141  45.54677  5.0731 362   6.41  15.70 -10.70   3.40   0.00   0.00   0.00
 46.43964  44.95583  5.5143 381   5.24  14.60 -17.00   3.80   0.00   0.02   0.00
 46.73114  44.73454  5.5633 383   6.26  18.60   6.80   3.30   0.00   0.00   0.00
 46.73765  45.07352  5.2907 365   4.20  20.40 -18.20   1.30   0.00   0.00   0.00
 46.74849  44.40542  5.8252 362   5.57  20.70  -2.80   3.70   0.00   0.00   0.00
 46.88031  45.79705  4.6760 365   6.08  22.20  -8.00   1.70   0.00   0.00   0.00
 46.98240  45.35720  4.9615 363   4.15  20.70 -23.80   1.80   0.00   0.00   0.00
 47.31052  44.67556  5.3789 367   6.18  20.70 -18.80   2.20   0.03   0.05   0.02
 47.43353  44.97770  5.0784 362   6.58  27.80  -5.90   2.30   0.00   0.00   0.00
 47.43436  45.47902  4.6698 370   6.27   8.70 -13.40   3.40   0.00   0.00   0.00
 47.45180  45.37705  4.7441 374   6.46  22.40 -17.40   3.40   0.00   0.01   0.00
 47.51926  44.70276  5.2768 387   5.49   3.10 -18.40   3.70   0.00   0.00   0.00
 47.61155  45.88826  4.2718 380   6.55  10.40 -25.40   3.50   0.00   0.00   0.00
 47.62859  45.55702  4.5257 368   6.12 -12.00 -11.40   3.50   0.00   0.00   0.00
 47.71424  45.93050  4.1939 390   6.20  30.10 -23.50   3.50   0.25   0.46   0.19
 47.71604  44.73814  5.1741 389   6.66  19.60 -40.70   3.70   0.00   0.00   0.00
 47.89305  45.17267  4.7380 384   5.77   9.30 -15.90   3.70   0.00   0.00   0.00
 47.91458  45.29515  4.6266 374   4.49  -8.80 -12.20   3.70   0.00   0.00   0.00
 47.91645  45.39861  4.5394 361   6.51  10.60 -12.60   3.70   0.00   0.00   0.00
 47.94308  45.31922  4.5955 387   5.36   6.90 -20.20   3.70   0.00   0.00   0.00
 46.30260  46.64041  4.4137 376   6.18  43.80  -0.20   3.40   0.00   0.00   0.00
 46.50041  47.13240  4.0272 361   5.99  13.90 -30.20   4.60   0.29   0.44   0.21
 46.68267  47.65929  3.6674 383   6.67   5.20 -16.50   3.50   0.00   0.00   0.00
 46.74120  47.73435  3.6001 384   4.16  15.40 -14.00   3.60   0.00   0.00   0.00
 46.83032  47.09267  3.8592 376   5.79   1.00 -16.70   3.50   0.00   0.00   0.00
 46.88128  47.06693  3.8446 378   5.21  48.10 -27.90   3.40   0.00   0.00   0.00
 47.17785  47.42841  3.4808 361   6.47  19.10  -8.70   3.40   0.00   0.00   0.00
 47.30738  46.73767  3.8116 375   4.81  14.70 -18.00   2.00   0.02   0.05   0.02
 47.31225  46.92796  3.6888 382   6.54  12.70 -10.50   3.50   0.00   0.00   0.00
 47.35089  47.85542  3.1774 361   6.38  14.50 -42.30   3.50   0.00   0.00   0.00
 47.57207  46.76389  3.6575 372   6.26  21.20  13.30   3.40   0.00   0.00   0.00
 47.57964  47.60544  3.1571 390   6.64  31.80 -21.40   3.40   0.00   0.01   0.00
 47.59949  47.36383  3.2742 376   6.09   1.90 -21.20   3.40   0.00   0.00   0.00
 47.64053  46.27642  3.9657 377   5.79  13.00 -10.90   3.50   0.00   0.00   0.00
 47.73396  47.21375  3.2869 367   6.22   7.60 -15.70   3.40   0.00   0.00   0.00
 47.83555  46.03495  4.0597 362   3.90 -11.60 -13.10   1.00   0.00   0.00   0.00
 47.83696  46.30351  3.8545 361   6.65  -7.50 -21.00   3.40   0.00   0.00   0.00
 47.87866  46.90546  3.4067 389   6.17  29.30 -37.60   3.40   0.07   0.23   0.06
 47.91490  46.80707  3.4552 380   6.47  20.00 -21.00   3.40   0.05   0.16   0.04
 48.01730  47.18156  3.1552 364   6.63  13.70 -19.10   3.50   0.00   0.00   0.00
 46.03045  49.50200  3.7475 381   6.03 -11.00 -13.80   3.40   0.00   0.00   0.00
 46.03852  48.37513  3.8380 381   6.65  13.30  -8.10   3.40   0.00   0.00   0.00
 46.03947  48.59038  3.7935 381   6.00  12.50   8.50   3.60   0.00   0.00   0.00
 46.06706  49.86306  3.7645 384   5.61  13.70  -8.40   3.40   0.00   0.00   0.00
 46.14925  49.10529  3.6653 381   5.67  10.20 -31.20   3.40   0.07   0.24   0.06
 46.22494  48.96827  3.6239 374   5.75  35.40 -13.80   3.00   0.00   0.01   0.00
 46.28102  48.16118  3.7379 380   5.15  17.40 -31.30   3.60   3.21   3.16   1.88
 46.41965  48.51051  3.5617 389   3.88  29.60 -11.50   3.40   0.00   0.00   0.00
 46.45670  48.15427  3.6279 362   5.68  14.80  -9.60   3.50   0.00   0.00   0.00
 46.47223  49.26852  3.4515 388   5.95 -10.40 -12.60   2.20   0.00   0.00   0.00
 46.47469  48.07124  3.6423 361   5.80  10.00 -16.60   3.50   0.00   0.01   0.00
 46.47673  49.48856  3.4574 388   6.01   1.30 -25.70   3.40   0.00   0.00   0.00
 46.57035  49.66012  3.4137 388   6.64   2.60 -20.60   3.40   0.00   0.00   0.00
 46.57635  48.30072  3.5101 377   4.30  12.90   9.00   3.40   0.00   0.00   0.00
 46.71414  48.54987  3.3628 387   6.34  21.40 -23.60   3.40   0.70   1.45   0.55
 46.75244  49.35972  3.2711 369   5.08  -0.50 -31.40   1.70   0.00   0.00   0.00
 46.78738  48.50820  3.3240 381   4.30  -5.80 -49.70   3.40   0.00   0.00   0.00
 46.82302  49.88213  3.2886 384   4.34  15.40 -16.60   3.40   0.00   0.00   0.00
 46.85992  48.58448  3.2613 379   5.77   5.00 -22.10   1.60   0.00   0.00   0.00
 46.86951  49.29101  3.1927 374   5.55  21.50 -16.00   2.60   1.13   1.57   0.78
 46.89702  49.12274  3.1755 377   5.75  25.10 -24.30   3.40  36.25  10.48  11.38
 46.90527  49.42728  3.1753 390   6.19  10.90 -10.80   3.40   0.00   0.00   0.00
 46.93201  48.67424  3.1981 385   6.64   9.30 -14.50   3.40   0.00   0.00   0.00
 46.96170  49.97121  3.2207 390   6.61 -14.20 -16.10   3.40   0.00   0.00   0.00
 47.06924  49.18566  3.0616 377   6.39  33.70  -7.60   2.60   0.00   0.00   0.00
 47.15897  49.16457  3.0032 389   4.74  11.20 -15.30   3.10   0.00   0.00   0.00
 47.18452  48.83004  3.0103 390   6.18  12.90 -17.40   3.40   0.01   0.02   0.01
 47.19378  48.99619  2.9878 375   5.94  36.80 -62.10   3.40   0.00   0.00   0.00
 47.20510  48.35354  3.0934 382   5.46  31.30 -37.90   2.70   0.46   1.71   0.41
 47.21265  49.03098  2.9731 386   6.20   1.00 -16.60   3.40   0.00   0.00   0.00
 47.21888  49.42187  2.9714 386   6.18  -7.70 -21.20   3.40   0.00   0.00   0.00
 47.26084  49.37445  2.9411 372   5.64  15.50  -5.50   2.20   0.00   0.00   0.00
 47.27575  49.87613  3.0022 378   5.06  26.40 -30.50   3.40  18.10  11.80   9.30
 47.28540  48.25315  3.0717 381   4.54  22.70 -29.10   3.50   1.23   4.46   1.09
 47.31194  48.32258  3.0340 384   4.02  -5.20 -26.30   3.40   0.00   0.00   0.00
 47.33181  48.66196  2.9404 382   5.93   6.30 -19.40   3.50   0.00   0.00   0.00
 47.40873  49.03288  2.8447 383   6.41  21.90   0.90   3.40   0.00   0.00   0.00
 47.43271  49.80992  2.8890 386   6.32  14.30   9.10   3.40   0.00   0.00   0.00
 47.47260  49.42305  2.8069 365   5.91  17.30 -10.30   3.40   0.00   0.01   0.00
 47.47850  48.34361  2.9220 384   6.07  29.70 -22.80   4.60   3.38   3.34   2.07
 47.47873  49.24228  2.7943 384   4.36  33.60 -42.10   2.00   0.00   0.00   0.00
 47.53467  49.99019  2.8692 389   6.51  22.60   0.90   3.40   0.00   0.00   0.00
 47.99589  48.60767  2.5219 367   6.43  14.10  -6.60   3.10   0.00   0.00   0.00
 46.02632  51.88185  4.5674 377   6.28  14.60 -37.10   3.50   0.00   0.01   0.00
 46.05986  51.91891  4.5719 362   6.39   7.60 -15.70   3.10   0.00   0.00   0.00
 46.10534  50.27984  3.8296 362   6.25  16.80   8.60   3.40   0.00   0.00   0.00
 46.11239  50.16597  3.7964 384   6.01   1.40 -16.10   3.40   0.00   0.00   0.00
 46.16876  50.40398  3.8259 380   6.05  15.30   3.80   3.40   0.00   0.00   0.00
 46.16878  51.71825  4.4022 385   6.60  13.10  -7.50   3.50   0.00   0.00   0.00
 46.17629  51.11159  4.0900 387   6.69  23.10 -15.20   3.40   0.00   0.00   0.00
 46.19526  50.37149  3.8002 374   6.61  25.20 -15.50   3.00   0.00   0.00   0.00
 46.21108  51.13419  4.0809 365   4.47  35.30 -27.90   1.40   0.00   0.01   0.00
 46.22392  50.58621  3.8516 390   5.03  18.60 -27.60   3.40   4.58   4.60   2.70
 46.23076  51.74764  4.3871 388   5.63  -0.60 -21.00   3.50   0.00   0.00   0.00
 46.24038  51.23438  4.1119 390   5.93   6.10 -14.00   3.40   0.00   0.00   0.00
 46.24281  50.54022  3.8246 374   5.24  20.30  11.40   3.40   0.00   0.00   0.00
 46.32314  50.14627  3.6607 380   5.91   3.40 -40.30   3.40   0.00   0.00   0.00
 46.33066  50.28939  3.6938 390   6.67   5.50 -20.60   4.60   0.00   0.00   0.00
 46.34394  51.88103  4.4079 363   6.47  26.60  12.40   3.50   0.00   0.00   0.00
 46.36916  50.40717  3.7053 382   6.65   5.50 -15.50   3.40   0.00   0.00   0.00
 46.37240  51.84833  4.3743 386   5.00  11.60 -13.00   3.50   0.00   0.00   0.00
 46.44159  51.49775  4.1393 389   5.48  19.70  11.20   3.50   0.00   0.00   0.00
 46.44537  50.91208  3.8497 382   6.50  44.00 -23.00   3.40   0.00   0.00   0.00
 46.51998  50.73018  3.7311 385   6.25   4.40 -46.20   3.40   0.00   0.00   0.00
 46.57406  51.59038  4.1225 389   5.93  27.40 -56.50   3.50   0.00   0.00   0.00
 46.59342  50.31356  3.5404 389   5.40  12.80 -18.10   3.40   0.06   0.17   0.05
 46.59877  50.60645  3.6370 388   5.26  18.70   3.00   3.40   0.00   0.00   0.00
 46.71930  51.11648  3.7923 381   6.49  -2.90 -20.40   3.40   0.00   0.00   0.00
 46.72185  51.50542  3.9986 386   5.51   5.00 -19.00   3.50   0.00   0.00   0.00
 46.77806  51.51561  3.9757 390   6.12  21.30 -17.60   3.40   0.13   0.22   0.10
 46.85435  50.51490  3.4522 370   4.69  17.50   5.20   1.00   0.00   0.00   0.00
