 ra        dec       radius SpT   DM    PMra  PMdec    SPM    mem    memp   mem1
 49.73430  45.30445  4.0534 186   4.31  -3.90 -20.80   0.60   0.00   0.00   0.00
 49.73930  45.11628  4.2306 199   5.40  26.60  -9.80   0.90   0.00   0.00   0.00
 49.92877  44.49772  4.7870 215   6.16  11.10 -21.10   0.90   0.00   0.00   0.00
 48.11772  46.33799  3.7017 176   5.61  29.60 -13.60   1.30   0.00   0.00   0.00
 48.17772  47.83863  2.6921 138   6.05  23.30 -25.60   1.40  96.79   0.76   1.05
 48.25179  47.09692  3.0896 218   5.82  19.70  -6.30   1.10   0.00   0.00   0.00
 48.38943  46.03706  3.8259 191   6.48  27.30 -21.90   0.80   0.84   1.04   0.50
 48.84568  47.27826  2.6716 122   6.41  12.70 -15.00   0.90   0.00   0.00   0.00
 48.92597  47.68370  2.3615 203   6.35  14.20 -12.40   1.00   0.00   0.00   0.00
 49.30283  46.62695  2.9846 202   6.13   8.40 -15.60   0.80   0.00   0.00   0.00
 48.27185  49.00942  2.2814  58   6.34  24.80 -24.90   0.60  91.75   1.76   2.35
 48.45967  49.56887  2.1900  32   6.17  24.50 -23.50   0.80  90.89   2.02   2.71
 48.56924  48.57790  2.1620 143   6.14  22.80 -14.40   0.80   0.00   0.00   0.00
 48.61836  48.35298  2.2030 170   6.21  24.20 -17.10   1.00   0.02   0.09   0.02
 48.74250  49.95352  2.1221 191   5.62  31.70  -5.20   1.00   0.00   0.00   0.00
 48.84818  49.44031  1.9198 192   5.96  24.00 -22.30   0.60  87.74   3.24   4.76
 49.00793  48.02794  2.1174 115   5.49  26.30 -19.00   0.60   0.45   1.02   0.34
 49.09654  49.62593  1.8002 184   5.99  23.80 -19.40   1.10   9.57  10.73   6.03
 49.24769  49.92662  1.8135 207   5.92  22.50 -23.40   0.90  96.61   0.70   0.89
 49.33474  49.50209  1.6202 201   5.60  26.70 -27.20   1.00  94.03   1.53   2.23
 49.50727  49.64418  1.5512 170   6.01  21.70 -21.80   1.80  85.24   4.33   6.54
 49.52190  49.90605  1.6463 185   5.89  24.30 -23.40   1.40  96.53   0.75   0.99
 49.68658  49.76998  1.4907  56   6.36  21.40 -23.10   1.70  90.29   2.21   2.88
 49.92394  48.91360  1.2152 182   5.23  23.40 -25.70   0.60  97.98   0.67   1.11
 48.51642  50.37986  2.4394 202   4.50  15.20 -16.10   1.00   0.00   0.00   0.00
 48.98019  50.67961  2.3694 208   5.97  16.20 -19.60   1.00   0.03   0.10   0.02
 49.05681  51.42887  2.8794 164   5.64  23.20 -14.40   0.80   0.00   0.00   0.00
 49.20452  51.21819  2.6569  42   5.86  22.70 -22.70   0.80  84.15   3.71   5.15
 49.39399  51.71497  2.9975 131   6.42  14.40 -12.40   1.00   0.00   0.00   0.00
 49.43024  50.36102  1.9460  85   5.45  31.60 -31.00   1.00   0.02   0.10   0.02
 49.59956  50.55578  1.9961  81   5.96  26.10 -24.70   0.80  93.55   1.54   2.16
 48.16956  52.88049  4.3826 111   5.64  21.70 -19.80   0.80   0.67   0.94   0.43
 48.17147  52.50869  4.0726 211   5.81  14.40 -16.50   1.00   0.00   0.00   0.00
 48.21496  52.53706  4.0808 189   5.04   3.50 -22.00   0.90   0.00   0.00   0.00
 48.60016  53.65980  4.9458 209   5.62  -9.00 -17.90   0.80   0.00   0.00   0.00
 48.68647  52.49163  3.8871 199   5.71  12.30 -24.10   0.60   0.00   0.00   0.00
 48.80224  53.50335  4.7538 156   6.69  12.50 -13.80   0.60   0.00   0.00   0.00
 48.90579  52.74974  4.0474 121   5.89  12.40 -17.60   0.60   0.00   0.00   0.00
